number,type,gu,area,room,lat_y,long_x
1097,도시형,강동구,408.22,14,37.5401281,127.1344549
1098,도시형,강동구,552.84,23,37.5439865,127.1294649
1099,도시형,강동구,297.3,10,37.5525546,127.1278186
1100,도시형,강동구,559.89,24,37.5438381,127.1305558
1101,도시형,강북구,493.1,28,37.6486907,127.0202448
1102,도시형,강북구,348.01,20,37.6288252,127.0170625
1103,도시형,강북구,314.14,18,37.6036774,127.0255753
1104,도시형,강북구,394.68,22,37.6452734,127.0585517
1105,도시형,강북구,280.84,20,37.6318081,127.0149191
1106,도시형,강서구,508.95,29,37.5679142,126.8144979
1107,도시형,강서구,1033.14,60,37.5482932,126.8748578
1108,도시형,강서구,426.5,13,37.5343296,126.818713
1109,도시형,강서구,270.32,11,37.5382607,126.856148
1110,도시형,강서구,249.98,12,37.5346836,126.8556101
1111,도시형,관악구,202.87,12,37.4660516,126.9356652
1112,도시형,관악구,202.87,12,37.4660516,126.9356652
1113,도시형,광진구,410,20,37.5435359,127.0826384
1114,도시형,광진구,769.87,25,37.5329962,127.0794362
1115,도시형,구로구,443.24,27,37.4920335,126.8515023
1116,도시형,구로구,459.49,27,37.4893018,126.8527079
1117,도시형,구로구,407.44,22,37.4931091,126.8535211
1118,도시형,구로구,421.17,22,37.4932853,126.8524076
1119,도시형,구로구,421.39,24,37.4938887,126.8519722
1120,도시형,구로구,515.83,26,37.5042623,126.8646159
1121,도시형,구로구,391.64,20,37.4930673,126.8504058
1122,도시형,구로구,473.92,18,37.4932853,126.8524076
1123,도시형,구로구,481.44,18,37.4920335,126.8515023
1124,도시형,구로구,437.3,18,37.4893018,126.8527079
1125,도시형,구로구,467.46,24,37.4920335,126.8515023
1126,도시형,구로구,485.1,12,37.4899208,126.8527442
1127,도시형,구로구,392.24,12,37.4920335,126.8515023
1128,도시형,구로구,378.64,12,37.4920335,126.8515023
1129,도시형,구로구,409.35,16,37.4930673,126.8504058
1130,도시형,구로구,424.96,12,37.49403,126.8529741
1131,도시형,구로구,508.31,14,37.4920335,126.8515023
1132,도시형,금천구,276.83,16,37.4611071,126.9024942
1133,도시형,금천구,366.68,14,37.4638669,126.9043985
1134,도시형,금천구,502.46,17,37.4779234,126.9056859
1135,도시형,금천구,286.78,16,37.4556669,126.9065602
1136,도시형,노원구,497.24,28,37.6321433,127.0581182
1137,도시형,노원구,429.33,25,37.6240719,127.0775937
1138,도시형,노원구,494.3,29,37.6321433,127.0581182
1139,도시형,노원구,337.21,16,37.6198352,127.0799446
1140,도시형,노원구,500.32,24,37.6745081,127.0610072
1141,도시형,노원구,402.6,15,37.6370442,127.0771725
1142,도시형,노원구,315.76,12,37.6370442,127.0771725
1143,도시형,노원구,1027,28,37.6370442,127.0771725
1144,도시형,도봉구,236.24,8,37.6384322,127.035358
1145,도시형,도봉구,551.48,18,37.6661103,127.0366558
1146,도시형,도봉구,418.43,14,37.6594389,127.0370818
1147,도시형,도봉구,418.43,14,37.6597524,127.0389719
1148,도시형,동대문구,837.81,29,37.5619428,127.0692148
1149,도시형,동대문구,837.81,29,37.5619428,127.0692148
1150,도시형,동대문구,368.83,16,37.5891019,127.0619942
1151,도시형,동대문구,752.94,26,37.564027,127.0626549
1152,도시형,동대문구,719.2,24,37.564027,127.0626549
1153,도시형,동대문구,467.76,14,37.5627744,127.061308
1154,도시형,동작구,463.48,14,37.495904,126.9381663
1155,도시형,동작구,1033.44,26,37.4938089,126.930727
1156,도시형,마포구,253.94,19,37.5546358,126.9099249
1157,도시형,마포구,600.75,40,37.5743954,126.8951455
1158,도시형,마포구,475.51,29,37.5626775,126.9060396
1159,도시형,마포구,598.78,28,37.5627536,126.9265726
1160,도시형,마포구,410.19,16,37.5562777,126.9047718
1161,도시형,마포구,425.41,13,37.5608618,126.9005211
1162,도시형,서대문구,392.45,24,37.5823504,126.9151666
1163,도시형,서대문구,335.92,19,37.5803014,126.9250688
1164,도시형,서대문구,369.12,20,37.5991138,126.9486015
